orignal_video_path,fake_video_path,original_label,fake_label,pair_id
faceframes\real\video146.mp4,faceframes\fake\fakevideo146.mp4,1,0,video146
faceframes\real\video147.mp4,faceframes\fake\fakevideo147.mp4,1,0,video147
faceframes\real\video148.mp4,faceframes\fake\fakevideo148.mp4,1,0,video148
faceframes\real\video149.mp4,faceframes\fake\fakevideo149.mp4,1,0,video149
faceframes\real\video15.mp4,faceframes\fake\fakevideo15.mp4,1,0,video15
faceframes\real\video150.mp4,faceframes\fake\fakevideo150.mp4,1,0,video150
faceframes\real\video151.mp4,faceframes\fake\fakevideo151.mp4,1,0,video151
faceframes\real\video152.mp4,faceframes\fake\fakevideo152.mp4,1,0,video152
faceframes\real\video153.mp4,faceframes\fake\fakevideo153.mp4,1,0,video153
faceframes\real\video154.mp4,faceframes\fake\fakevideo154.mp4,1,0,video154
faceframes\real\video155.mp4,faceframes\fake\fakevideo155.mp4,1,0,video155
faceframes\real\video156.mp4,faceframes\fake\fakevideo156.mp4,1,0,video156
faceframes\real\video157.mp4,faceframes\fake\fakevideo157.mp4,1,0,video157
faceframes\real\video158.mp4,faceframes\fake\fakevideo158.mp4,1,0,video158
faceframes\real\video159.mp4,faceframes\fake\fakevideo159.mp4,1,0,video159
faceframes\real\video16.mp4,faceframes\fake\fakevideo16.mp4,1,0,video16
faceframes\real\video160.mp4,faceframes\fake\fakevideo160.mp4,1,0,video160
faceframes\real\video161.mp4,faceframes\fake\fakevideo161.mp4,1,0,video161
faceframes\real\video162.mp4,faceframes\fake\fakevideo162.mp4,1,0,video162
faceframes\real\video163.mp4,faceframes\fake\fakevideo163.mp4,1,0,video163
faceframes\real\video164.mp4,faceframes\fake\fakevideo164.mp4,1,0,video164
faceframes\real\video165.mp4,faceframes\fake\fakevideo165.mp4,1,0,video165
faceframes\real\video166.mp4,faceframes\fake\fakevideo166.mp4,1,0,video166
faceframes\real\video167.mp4,faceframes\fake\fakevideo167.mp4,1,0,video167
faceframes\real\video168.mp4,faceframes\fake\fakevideo168.mp4,1,0,video168
faceframes\real\video169.mp4,faceframes\fake\fakevideo169.mp4,1,0,video169
faceframes\real\video17.mp4,faceframes\fake\fakevideo17.mp4,1,0,video17
faceframes\real\video170.mp4,faceframes\fake\fakevideo170.mp4,1,0,video170
faceframes\real\video171.mp4,faceframes\fake\fakevideo171.mp4,1,0,video171
faceframes\real\video172.mp4,faceframes\fake\fakevideo172.mp4,1,0,video172
faceframes\real\video173.mp4,faceframes\fake\fakevideo173.mp4,1,0,video173
faceframes\real\video174.mp4,faceframes\fake\fakevideo174.mp4,1,0,video174
faceframes\real\video175.mp4,faceframes\fake\fakevideo175.mp4,1,0,video175
faceframes\real\video176.mp4,faceframes\fake\fakevideo176.mp4,1,0,video176
faceframes\real\video177.mp4,faceframes\fake\fakevideo177.mp4,1,0,video177
faceframes\real\video178.mp4,faceframes\fake\fakevideo178.mp4,1,0,video178
faceframes\real\video179.mp4,faceframes\fake\fakevideo179.mp4,1,0,video179
faceframes\real\video18.mp4,faceframes\fake\fakevideo18.mp4,1,0,video18
faceframes\real\video180.mp4,faceframes\fake\fakevideo180.mp4,1,0,video180
faceframes\real\video181.mp4,faceframes\fake\fakevideo181.mp4,1,0,video181
faceframes\real\video182.mp4,faceframes\fake\fakevideo182.mp4,1,0,video182
faceframes\real\video183.mp4,faceframes\fake\fakevideo183.mp4,1,0,video183
faceframes\real\video184.mp4,faceframes\fake\fakevideo184.mp4,1,0,video184
faceframes\real\video185.mp4,faceframes\fake\fakevideo185.mp4,1,0,video185
faceframes\real\video186.mp4,faceframes\fake\fakevideo186.mp4,1,0,video186
faceframes\real\video187.mp4,faceframes\fake\fakevideo187.mp4,1,0,video187
faceframes\real\video188.mp4,faceframes\fake\fakevideo188.mp4,1,0,video188
faceframes\real\video189.mp4,faceframes\fake\fakevideo189.mp4,1,0,video189
faceframes\real\video19.mp4,faceframes\fake\fakevideo19.mp4,1,0,video19
faceframes\real\video190.mp4,faceframes\fake\fakevideo190.mp4,1,0,video190
faceframes\real\video191.mp4,faceframes\fake\fakevideo191.mp4,1,0,video191
faceframes\real\video192.mp4,faceframes\fake\fakevideo192.mp4,1,0,video192
faceframes\real\video193.mp4,faceframes\fake\fakevideo193.mp4,1,0,video193
faceframes\real\video194.mp4,faceframes\fake\fakevideo194.mp4,1,0,video194
faceframes\real\video195.mp4,faceframes\fake\fakevideo195.mp4,1,0,video195
faceframes\real\video196.mp4,faceframes\fake\fakevideo196.mp4,1,0,video196
faceframes\real\video197.mp4,faceframes\fake\fakevideo197.mp4,1,0,video197
faceframes\real\video198.mp4,faceframes\fake\fakevideo198.mp4,1,0,video198
faceframes\real\video199.mp4,faceframes\fake\fakevideo199.mp4,1,0,video199
faceframes\real\video2.mp4,faceframes\fake\fakevideo2.mp4,1,0,video2
faceframes\real\video20.mp4,faceframes\fake\fakevideo20.mp4,1,0,video20
faceframes\real\video200.mp4,faceframes\fake\fakevideo200.mp4,1,0,video200
faceframes\real\video201.mp4,faceframes\fake\fakevideo201.mp4,1,0,video201
faceframes\real\video202.mp4,faceframes\fake\fakevideo202.mp4,1,0,video202
faceframes\real\video203.mp4,faceframes\fake\fakevideo203.mp4,1,0,video203
faceframes\real\video204.mp4,faceframes\fake\fakevideo204.mp4,1,0,video204
faceframes\real\video205.mp4,faceframes\fake\fakevideo205.mp4,1,0,video205
faceframes\real\video206.mp4,faceframes\fake\fakevideo206.mp4,1,0,video206
faceframes\real\video207.mp4,faceframes\fake\fakevideo207.mp4,1,0,video207
faceframes\real\video208.mp4,faceframes\fake\fakevideo208.mp4,1,0,video208
faceframes\real\video209.mp4,faceframes\fake\fakevideo209.mp4,1,0,video209
faceframes\real\video21.mp4,faceframes\fake\fakevideo21.mp4,1,0,video21
faceframes\real\video210.mp4,faceframes\fake\fakevideo210.mp4,1,0,video210
faceframes\real\video211.mp4,faceframes\fake\fakevideo211.mp4,1,0,video211
faceframes\real\video212.mp4,faceframes\fake\fakevideo212.mp4,1,0,video212
faceframes\real\video213.mp4,faceframes\fake\fakevideo213.mp4,1,0,video213
faceframes\real\video214.mp4,faceframes\fake\fakevideo214.mp4,1,0,video214
faceframes\real\video215.mp4,faceframes\fake\fakevideo215.mp4,1,0,video215
faceframes\real\video216.mp4,faceframes\fake\fakevideo216.mp4,1,0,video216
faceframes\real\video217.mp4,faceframes\fake\fakevideo217.mp4,1,0,video217
faceframes\real\video218.mp4,faceframes\fake\fakevideo218.mp4,1,0,video218
faceframes\real\video219.mp4,faceframes\fake\fakevideo219.mp4,1,0,video219
faceframes\real\video22.mp4,faceframes\fake\fakevideo22.mp4,1,0,video22
faceframes\real\video220.mp4,faceframes\fake\fakevideo220.mp4,1,0,video220
faceframes\real\video221.mp4,faceframes\fake\fakevideo221.mp4,1,0,video221
faceframes\real\video222.mp4,faceframes\fake\fakevideo222.mp4,1,0,video222
faceframes\real\video223.mp4,faceframes\fake\fakevideo223.mp4,1,0,video223
faceframes\real\video224.mp4,faceframes\fake\fakevideo224.mp4,1,0,video224
faceframes\real\video225.mp4,faceframes\fake\fakevideo225.mp4,1,0,video225
faceframes\real\video226.mp4,faceframes\fake\fakevideo226.mp4,1,0,video226
faceframes\real\video227.mp4,faceframes\fake\fakevideo227.mp4,1,0,video227
faceframes\real\video228.mp4,faceframes\fake\fakevideo228.mp4,1,0,video228
faceframes\real\video229.mp4,faceframes\fake\fakevideo229.mp4,1,0,video229
faceframes\real\video23.mp4,faceframes\fake\fakevideo23.mp4,1,0,video23
faceframes\real\video230.mp4,faceframes\fake\fakevideo230.mp4,1,0,video230
faceframes\real\video231.mp4,faceframes\fake\fakevideo231.mp4,1,0,video231
faceframes\real\video232.mp4,faceframes\fake\fakevideo232.mp4,1,0,video232
faceframes\real\video233.mp4,faceframes\fake\fakevideo233.mp4,1,0,video233
faceframes\real\video234.mp4,faceframes\fake\fakevideo234.mp4,1,0,video234
faceframes\real\video235.mp4,faceframes\fake\fakevideo235.mp4,1,0,video235
faceframes\real\video236.mp4,faceframes\fake\fakevideo236.mp4,1,0,video236
faceframes\real\video237.mp4,faceframes\fake\fakevideo237.mp4,1,0,video237
faceframes\real\video238.mp4,faceframes\fake\fakevideo238.mp4,1,0,video238
faceframes\real\video239.mp4,faceframes\fake\fakevideo239.mp4,1,0,video239
faceframes\real\video24.mp4,faceframes\fake\fakevideo24.mp4,1,0,video24
faceframes\real\video240.mp4,faceframes\fake\fakevideo240.mp4,1,0,video240
faceframes\real\video241.mp4,faceframes\fake\fakevideo241.mp4,1,0,video241
faceframes\real\video242.mp4,faceframes\fake\fakevideo242.mp4,1,0,video242
faceframes\real\video243.mp4,faceframes\fake\fakevideo243.mp4,1,0,video243
faceframes\real\video244.mp4,faceframes\fake\fakevideo244.mp4,1,0,video244
faceframes\real\video245.mp4,faceframes\fake\fakevideo245.mp4,1,0,video245
faceframes\real\video246.mp4,faceframes\fake\fakevideo246.mp4,1,0,video246
faceframes\real\video247.mp4,faceframes\fake\fakevideo247.mp4,1,0,video247
faceframes\real\video248.mp4,faceframes\fake\fakevideo248.mp4,1,0,video248
faceframes\real\video249.mp4,faceframes\fake\fakevideo249.mp4,1,0,video249
faceframes\real\video25.mp4,faceframes\fake\fakevideo25.mp4,1,0,video25
faceframes\real\video250.mp4,faceframes\fake\fakevideo250.mp4,1,0,video250
faceframes\real\video251.mp4,faceframes\fake\fakevideo251.mp4,1,0,video251
faceframes\real\video252.mp4,faceframes\fake\fakevideo252.mp4,1,0,video252
faceframes\real\video253.mp4,faceframes\fake\fakevideo253.mp4,1,0,video253
faceframes\real\video254.mp4,faceframes\fake\fakevideo254.mp4,1,0,video254
faceframes\real\video255.mp4,faceframes\fake\fakevideo255.mp4,1,0,video255
faceframes\real\video256.mp4,faceframes\fake\fakevideo256.mp4,1,0,video256
faceframes\real\video257.mp4,faceframes\fake\fakevideo257.mp4,1,0,video257
faceframes\real\video258.mp4,faceframes\fake\fakevideo258.mp4,1,0,video258
faceframes\real\video259.mp4,faceframes\fake\fakevideo259.mp4,1,0,video259
faceframes\real\video26.mp4,faceframes\fake\fakevideo26.mp4,1,0,video26
faceframes\real\video260.mp4,faceframes\fake\fakevideo260.mp4,1,0,video260
faceframes\real\video261.mp4,faceframes\fake\fakevideo261.mp4,1,0,video261
faceframes\real\video262.mp4,faceframes\fake\fakevideo262.mp4,1,0,video262
faceframes\real\video263.mp4,faceframes\fake\fakevideo263.mp4,1,0,video263
faceframes\real\video264.mp4,faceframes\fake\fakevideo264.mp4,1,0,video264
faceframes\real\video265.mp4,faceframes\fake\fakevideo265.mp4,1,0,video265
faceframes\real\video266.mp4,faceframes\fake\fakevideo266.mp4,1,0,video266
faceframes\real\video267.mp4,faceframes\fake\fakevideo267.mp4,1,0,video267
faceframes\real\video268.mp4,faceframes\fake\fakevideo268.mp4,1,0,video268
faceframes\real\video269.mp4,faceframes\fake\fakevideo269.mp4,1,0,video269
faceframes\real\video27.mp4,faceframes\fake\fakevideo27.mp4,1,0,video27
faceframes\real\video270.mp4,faceframes\fake\fakevideo270.mp4,1,0,video270
faceframes\real\video271.mp4,faceframes\fake\fakevideo271.mp4,1,0,video271
faceframes\real\video272.mp4,faceframes\fake\fakevideo272.mp4,1,0,video272
faceframes\real\video273.mp4,faceframes\fake\fakevideo273.mp4,1,0,video273
faceframes\real\video274.mp4,faceframes\fake\fakevideo274.mp4,1,0,video274
faceframes\real\video275.mp4,faceframes\fake\fakevideo275.mp4,1,0,video275
faceframes\real\video276.mp4,faceframes\fake\fakevideo276.mp4,1,0,video276
faceframes\real\video277.mp4,faceframes\fake\fakevideo277.mp4,1,0,video277
faceframes\real\video278.mp4,faceframes\fake\fakevideo278.mp4,1,0,video278
faceframes\real\video279.mp4,faceframes\fake\fakevideo279.mp4,1,0,video279
faceframes\real\video28.mp4,faceframes\fake\fakevideo28.mp4,1,0,video28
faceframes\real\video280.mp4,faceframes\fake\fakevideo280.mp4,1,0,video280
faceframes\real\video281.mp4,faceframes\fake\fakevideo281.mp4,1,0,video281
faceframes\real\video282.mp4,faceframes\fake\fakevideo282.mp4,1,0,video282
faceframes\real\video283.mp4,faceframes\fake\fakevideo283.mp4,1,0,video283
faceframes\real\video284.mp4,faceframes\fake\fakevideo284.mp4,1,0,video284
faceframes\real\video285.mp4,faceframes\fake\fakevideo285.mp4,1,0,video285
faceframes\real\video286.mp4,faceframes\fake\fakevideo286.mp4,1,0,video286
faceframes\real\video287.mp4,faceframes\fake\fakevideo287.mp4,1,0,video287
faceframes\real\video288.mp4,faceframes\fake\fakevideo288.mp4,1,0,video288
faceframes\real\video289.mp4,faceframes\fake\fakevideo289.mp4,1,0,video289
faceframes\real\video29.mp4,faceframes\fake\fakevideo29.mp4,1,0,video29
faceframes\real\video290.mp4,faceframes\fake\fakevideo290.mp4,1,0,video290
faceframes\real\video291.mp4,faceframes\fake\fakevideo291.mp4,1,0,video291
faceframes\real\video292.mp4,faceframes\fake\fakevideo292.mp4,1,0,video292
faceframes\real\video293.mp4,faceframes\fake\fakevideo293.mp4,1,0,video293
faceframes\real\video294.mp4,faceframes\fake\fakevideo294.mp4,1,0,video294
faceframes\real\video295.mp4,faceframes\fake\fakevideo295.mp4,1,0,video295
faceframes\real\video296.mp4,faceframes\fake\fakevideo296.mp4,1,0,video296
faceframes\real\video297.mp4,faceframes\fake\fakevideo297.mp4,1,0,video297
faceframes\real\video298.mp4,faceframes\fake\fakevideo298.mp4,1,0,video298
faceframes\real\video299.mp4,faceframes\fake\fakevideo299.mp4,1,0,video299
faceframes\real\video3.mp4,faceframes\fake\fakevideo3.mp4,1,0,video3
faceframes\real\video30.mp4,faceframes\fake\fakevideo30.mp4,1,0,video30
faceframes\real\video300.mp4,faceframes\fake\fakevideo300.mp4,1,0,video300
faceframes\real\video301.mp4,faceframes\fake\fakevideo301.mp4,1,0,video301
faceframes\real\video302.mp4,faceframes\fake\fakevideo302.mp4,1,0,video302
faceframes\real\video303.mp4,faceframes\fake\fakevideo303.mp4,1,0,video303
faceframes\real\video304.mp4,faceframes\fake\fakevideo304.mp4,1,0,video304
faceframes\real\video305.mp4,faceframes\fake\fakevideo305.mp4,1,0,video305
faceframes\real\video306.mp4,faceframes\fake\fakevideo306.mp4,1,0,video306
faceframes\real\video307.mp4,faceframes\fake\fakevideo307.mp4,1,0,video307
faceframes\real\video308.mp4,faceframes\fake\fakevideo308.mp4,1,0,video308
faceframes\real\video309.mp4,faceframes\fake\fakevideo309.mp4,1,0,video309
faceframes\real\video31.mp4,faceframes\fake\fakevideo31.mp4,1,0,video31
faceframes\real\video310.mp4,faceframes\fake\fakevideo310.mp4,1,0,video310
faceframes\real\video311.mp4,faceframes\fake\fakevideo311.mp4,1,0,video311
faceframes\real\video312.mp4,faceframes\fake\fakevideo312.mp4,1,0,video312
faceframes\real\video313.mp4,faceframes\fake\fakevideo313.mp4,1,0,video313
faceframes\real\video314.mp4,faceframes\fake\fakevideo314.mp4,1,0,video314
faceframes\real\video315.mp4,faceframes\fake\fakevideo315.mp4,1,0,video315
faceframes\real\video316.mp4,faceframes\fake\fakevideo316.mp4,1,0,video316
faceframes\real\video317.mp4,faceframes\fake\fakevideo317.mp4,1,0,video317
faceframes\real\video318.mp4,faceframes\fake\fakevideo318.mp4,1,0,video318
faceframes\real\video319.mp4,faceframes\fake\fakevideo319.mp4,1,0,video319
faceframes\real\video32.mp4,faceframes\fake\fakevideo32.mp4,1,0,video32
faceframes\real\video320.mp4,faceframes\fake\fakevideo320.mp4,1,0,video320
faceframes\real\video321.mp4,faceframes\fake\fakevideo321.mp4,1,0,video321
faceframes\real\video322.mp4,faceframes\fake\fakevideo322.mp4,1,0,video322
faceframes\real\video323.mp4,faceframes\fake\fakevideo323.mp4,1,0,video323
faceframes\real\video324.mp4,faceframes\fake\fakevideo324.mp4,1,0,video324
faceframes\real\video325.mp4,faceframes\fake\fakevideo325.mp4,1,0,video325
faceframes\real\video326.mp4,faceframes\fake\fakevideo326.mp4,1,0,video326
faceframes\real\video327.mp4,faceframes\fake\fakevideo327.mp4,1,0,video327
faceframes\real\video328.mp4,faceframes\fake\fakevideo328.mp4,1,0,video328
faceframes\real\video329.mp4,faceframes\fake\fakevideo329.mp4,1,0,video329
faceframes\real\video33.mp4,faceframes\fake\fakevideo33.mp4,1,0,video33
faceframes\real\video330.mp4,faceframes\fake\fakevideo330.mp4,1,0,video330
faceframes\real\video331.mp4,faceframes\fake\fakevideo331.mp4,1,0,video331
faceframes\real\video332.mp4,faceframes\fake\fakevideo332.mp4,1,0,video332
faceframes\real\video333.mp4,faceframes\fake\fakevideo333.mp4,1,0,video333
faceframes\real\video334.mp4,faceframes\fake\fakevideo334.mp4,1,0,video334
faceframes\real\video335.mp4,faceframes\fake\fakevideo335.mp4,1,0,video335
faceframes\real\video336.mp4,faceframes\fake\fakevideo336.mp4,1,0,video336
faceframes\real\video337.mp4,faceframes\fake\fakevideo337.mp4,1,0,video337
faceframes\real\video338.mp4,faceframes\fake\fakevideo338.mp4,1,0,video338
faceframes\real\video339.mp4,faceframes\fake\fakevideo339.mp4,1,0,video339
faceframes\real\video34.mp4,faceframes\fake\fakevideo34.mp4,1,0,video34
faceframes\real\video340.mp4,faceframes\fake\fakevideo340.mp4,1,0,video340
faceframes\real\video341.mp4,faceframes\fake\fakevideo341.mp4,1,0,video341
faceframes\real\video342.mp4,faceframes\fake\fakevideo342.mp4,1,0,video342
faceframes\real\video343.mp4,faceframes\fake\fakevideo343.mp4,1,0,video343
faceframes\real\video344.mp4,faceframes\fake\fakevideo344.mp4,1,0,video344
faceframes\real\video345.mp4,faceframes\fake\fakevideo345.mp4,1,0,video345
faceframes\real\video346.mp4,faceframes\fake\fakevideo346.mp4,1,0,video346
faceframes\real\video347.mp4,faceframes\fake\fakevideo347.mp4,1,0,video347
faceframes\real\video348.mp4,faceframes\fake\fakevideo348.mp4,1,0,video348
faceframes\real\video349.mp4,faceframes\fake\fakevideo349.mp4,1,0,video349
faceframes\real\video35.mp4,faceframes\fake\fakevideo35.mp4,1,0,video35
faceframes\real\video350.mp4,faceframes\fake\fakevideo350.mp4,1,0,video350
faceframes\real\video351.mp4,faceframes\fake\fakevideo351.mp4,1,0,video351
faceframes\real\video352.mp4,faceframes\fake\fakevideo352.mp4,1,0,video352
faceframes\real\video353.mp4,faceframes\fake\fakevideo353.mp4,1,0,video353
faceframes\real\video354.mp4,faceframes\fake\fakevideo354.mp4,1,0,video354
faceframes\real\video355.mp4,faceframes\fake\fakevideo355.mp4,1,0,video355
faceframes\real\video356.mp4,faceframes\fake\fakevideo356.mp4,1,0,video356
faceframes\real\video357.mp4,faceframes\fake\fakevideo357.mp4,1,0,video357
faceframes\real\video358.mp4,faceframes\fake\fakevideo358.mp4,1,0,video358
faceframes\real\video359.mp4,faceframes\fake\fakevideo359.mp4,1,0,video359
faceframes\real\video36.mp4,faceframes\fake\fakevideo36.mp4,1,0,video36
faceframes\real\video360.mp4,faceframes\fake\fakevideo360.mp4,1,0,video360
faceframes\real\video361.mp4,faceframes\fake\fakevideo361.mp4,1,0,video361
faceframes\real\video362.mp4,faceframes\fake\fakevideo362.mp4,1,0,video362
faceframes\real\video363.mp4,faceframes\fake\fakevideo363.mp4,1,0,video363
faceframes\real\video364.mp4,faceframes\fake\fakevideo364.mp4,1,0,video364
faceframes\real\video365.mp4,faceframes\fake\fakevideo365.mp4,1,0,video365
faceframes\real\video366.mp4,faceframes\fake\fakevideo366.mp4,1,0,video366
faceframes\real\video367.mp4,faceframes\fake\fakevideo367.mp4,1,0,video367
faceframes\real\video368.mp4,faceframes\fake\fakevideo368.mp4,1,0,video368
faceframes\real\video369.mp4,faceframes\fake\fakevideo369.mp4,1,0,video369
faceframes\real\video37.mp4,faceframes\fake\fakevideo37.mp4,1,0,video37
faceframes\real\video370.mp4,faceframes\fake\fakevideo370.mp4,1,0,video370
faceframes\real\video371.mp4,faceframes\fake\fakevideo371.mp4,1,0,video371
faceframes\real\video372.mp4,faceframes\fake\fakevideo372.mp4,1,0,video372
faceframes\real\video373.mp4,faceframes\fake\fakevideo373.mp4,1,0,video373
faceframes\real\video374.mp4,faceframes\fake\fakevideo374.mp4,1,0,video374
faceframes\real\video375.mp4,faceframes\fake\fakevideo375.mp4,1,0,video375
faceframes\real\video376.mp4,faceframes\fake\fakevideo376.mp4,1,0,video376
faceframes\real\video377.mp4,faceframes\fake\fakevideo377.mp4,1,0,video377
faceframes\real\video378.mp4,faceframes\fake\fakevideo378.mp4,1,0,video378
faceframes\real\video379.mp4,faceframes\fake\fakevideo379.mp4,1,0,video379
faceframes\real\video38.mp4,faceframes\fake\fakevideo38.mp4,1,0,video38
faceframes\real\video380.mp4,faceframes\fake\fakevideo380.mp4,1,0,video380
faceframes\real\video381.mp4,faceframes\fake\fakevideo381.mp4,1,0,video381
faceframes\real\video382.mp4,faceframes\fake\fakevideo382.mp4,1,0,video382
faceframes\real\video383.mp4,faceframes\fake\fakevideo383.mp4,1,0,video383
faceframes\real\video384.mp4,faceframes\fake\fakevideo384.mp4,1,0,video384
faceframes\real\video385.mp4,faceframes\fake\fakevideo385.mp4,1,0,video385
faceframes\real\video386.mp4,faceframes\fake\fakevideo386.mp4,1,0,video386
faceframes\real\video387.mp4,faceframes\fake\fakevideo387.mp4,1,0,video387
faceframes\real\video388.mp4,faceframes\fake\fakevideo388.mp4,1,0,video388
faceframes\real\video389.mp4,faceframes\fake\fakevideo389.mp4,1,0,video389
faceframes\real\video39.mp4,faceframes\fake\fakevideo39.mp4,1,0,video39
faceframes\real\video390.mp4,faceframes\fake\fakevideo390.mp4,1,0,video390
faceframes\real\video391.mp4,faceframes\fake\fakevideo391.mp4,1,0,video391
faceframes\real\video392.mp4,faceframes\fake\fakevideo392.mp4,1,0,video392
faceframes\real\video393.mp4,faceframes\fake\fakevideo393.mp4,1,0,video393
faceframes\real\video394.mp4,faceframes\fake\fakevideo394.mp4,1,0,video394
faceframes\real\video395.mp4,faceframes\fake\fakevideo395.mp4,1,0,video395
faceframes\real\video396.mp4,faceframes\fake\fakevideo396.mp4,1,0,video396
faceframes\real\video397.mp4,faceframes\fake\fakevideo397.mp4,1,0,video397
faceframes\real\video398.mp4,faceframes\fake\fakevideo398.mp4,1,0,video398
faceframes\real\video399.mp4,faceframes\fake\fakevideo399.mp4,1,0,video399
faceframes\real\video4.mp4,faceframes\fake\fakevideo4.mp4,1,0,video4
faceframes\real\video40.mp4,faceframes\fake\fakevideo40.mp4,1,0,video40
faceframes\real\video400.mp4,faceframes\fake\fakevideo400.mp4,1,0,video400
faceframes\real\video401.mp4,faceframes\fake\fakevideo401.mp4,1,0,video401
faceframes\real\video402.mp4,faceframes\fake\fakevideo402.mp4,1,0,video402
faceframes\real\video403.mp4,faceframes\fake\fakevideo403.mp4,1,0,video403
faceframes\real\video404.mp4,faceframes\fake\fakevideo404.mp4,1,0,video404
faceframes\real\video405.mp4,faceframes\fake\fakevideo405.mp4,1,0,video405
faceframes\real\video406.mp4,faceframes\fake\fakevideo406.mp4,1,0,video406
faceframes\real\video407.mp4,faceframes\fake\fakevideo407.mp4,1,0,video407
faceframes\real\video408.mp4,faceframes\fake\fakevideo408.mp4,1,0,video408
faceframes\real\video409.mp4,faceframes\fake\fakevideo409.mp4,1,0,video409
faceframes\real\video41.mp4,faceframes\fake\fakevideo41.mp4,1,0,video41
faceframes\real\video410.mp4,faceframes\fake\fakevideo410.mp4,1,0,video410
